comp|out|in|date|min|1<50/null|1>100/null|1>150/null|1>120/null|1>300/null|1>500/null|1>800/null|1>1000/null|1>1500/null|1>2000/null|1>3000/null|1>5000/null|2<null/0,16|2>null/0,4|2>null/0,6|2>null/0,8|2>null/1,3|2>null/2,3|2>null/4|2>null/5|2>null/7|2>null/10|2>null/15|2>null/25
ГринЛог|Москва|Санкт-Петербург|1|610|9,8|9,6|9,5|9,4|9,3|9,1|8,9|8,8|8,7|8,6|8,5|8,4|2550|2510|2480|2440|2410|2360|2320|2290|2270|2250|2200|2170
ГринЛог|Москва|Новосибирск|1|740|21,8|9,6|21,2|20,8|20,5|20,2|19,8|19,6|19,5|19,2|18,9|18,5|5670|5580|5510|5410|5350|5250|5150|5110|5050|4990|4920|4820
ГринЛог|Москва|Екатеринбур|4|610|16,1|15,8|15,6|15,4|15,1|14,9|14,6|14,5|14,4|14,2|13,9|13,6|4180|4110|4060|3990|3930|3870|3810|3750|3740|3690|3620|3650
ГринЛог|Москва|Казань|2|570|12,5|12,4|12,2|12|11,8|11,6|11,5|11,3|11,2|11|10,8|10,6|3260|3220|3160|3120|3070|3030|2980|2930|2910|2860|2810|2760
ГринЛог|Москва|Нижний Новгород|1|550|10,3|10,1|10|9,8|9,6|9,5|9,4|9,3|9,2|9|8,9|8,7|2670|2630|2600|2550|2510|2480|2440|2410|2390|2340|2320|2270
ГринЛог|Москва|Челябинск|4|600|15,6|15,4|15,2|14,9|14,7|14,5|14,3|14,1|13,9|13,7|13,5|13,3|4060|3990|3950|3870|3830|3750|3710|3660|3620|3570|3520|3450
ГринЛог|Москва|Омск|3|720|21,3|20,9|20,6|20,3|20|19,6|19,4|19,2|18,9|18,7|18,4|18,1|5530|5440|5360|5270|5200|5110|5040|4990|4920|4870|4770|4700
ГринЛог|Москва|Красноярск|7|780|25,5|25,2|24,8|24,4|24|23,6|23,3|23|22,7|22,5|22,1|21,7|6650|6550|6450|6340|6240|6150|6050|5980|5910|5840|5750|5650
ГринЛог|Москва|Иркутск|8|810|29,1|28,6|28,2|27,8|27,4|26,9|26,5|26,2|25,9|25,6|25,2|24,7|7560|7450|7330|7240|7120|7000|6880|6810|6740|6660|6550|6430
ГринЛог|Москва|Владивосток|10|1160|39,1|38,5|37,9|37,4|36,7|36,2|35,5|35,2|34,8|34,4|33,8|33,3|10770|10770|10620|10440|10290|10110|9990|9840|9600|9360|9210|9060
