comp|out|in|min|date|1>3000/null|1>1500/null|1>500/null|1>150/null|1<150/null|2>null/12|2>null/6|2>null/2|2>null/0,6|2<null/0,6
ЖелдорЭксп|Москва|Абакан|790|10|23,39|23,87|24,36|25,11|27|6549|6684|6821|7031|7560
ЖелдорЭксп|Москва|Александров|790|10|8,97|9,15|9,34|9,63|10,35|2512|2562|2615|2696|2898
ЖелдорЭксп|Москва|Алматы|550|10|30,16|30,56|32,26|32,96|32,96|8445|8557|9033|9229|9229
ЖелдорЭксп|Москва|Альметьевск|490|10|13,86|14,14|14,43|14,88|16|3881|3959|4040|4166|4480
ЖелдорЭксп|Москва|Армавир|490|10|12,13|12,38|12,63|13,02|14|3396|3466|3536|3646|3920
ЖелдорЭксп|Москва|Арсеньев|990|10|40,26|40,67|41,5|42,78|46|11273|11388|11620|11978|12880
ЖелдорЭксп|Москва|Архангельск|490|10|12,43|12,69|12,95|13,35|14,35|3480|3553|3626|3738|4018
ЖелдорЭксп|Москва|Астрахань|490|10|12,78|13,04|13,31|13,72|14,75|3578|3651|3727|3842|4130
ЖелдорЭксп|Москва|Ахтубинск|990|10|20,97|21,53|22,22|23,04|24|5872|6028|6222|6451|6720
ЖелдорЭксп|Москва|Ачинск|790|10|21,88|22,1|22,55|23,25|25|6126|6188|6314|6510|7000
ЖелдорЭксп|Москва|Балаково|490|10|13,47|13,75|14,03|14,46|15,55|3772|3850|3928|4049|4354
ЖелдорЭксп|Москва|Балашов|790|10|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Балезино|890|10|16,99|17,1|17,45|18,05|18,55|4757|4788|4886|5054|5194
ЖелдорЭксп|Москва|Балхаш|1350|10|42,04|44,59|46,44|48,15|49,16|11771|12485|13003|13482|13765
ЖелдорЭксп|Москва|Барнаул|690|10|20,58|21|21,43|22,32|24|5762|5880|6000|6250|6720
ЖелдорЭксп|Москва|Белгород|490|10|9,79|9,99|10,19|10,51|11,3|2741|2797|2853|2943|3164
ЖелдорЭксп|Москва|Белогорск|990|10|38,51|38,9|39,69|40,92|44|10783|10892|11113|11458|12320
ЖелдорЭксп|Москва|Березники|690|10|14,73|15,03|15,34|15,81|17|4124|4208|4295|4427|4760
ЖелдорЭксп|Москва|Бийск|690|10|21,66|21,88|22,33|23,02|24,75|6065|6126|6252|6446|6930
ЖелдорЭксп|Москва|Биробиджан|1190|10|34,32|35,38|36,47|37,6|40|9610|9906|10212|10528|11200
ЖелдорЭксп|Москва|Благовещенск|990|10|33,26|33,94|34,63|35,34|38|9313|9503|9696|9895|10640
ЖелдорЭксп|Москва|Бодайбо|2150|10|51,46|52,51|53,58|54,67|56|14409|14703|15002|15308|15680
ЖелдорЭксп|Москва|Бокситогорск|1550|10|12,39|13,62|15,35|17,1|19,35|3469|3814|4298|4788|5418
ЖелдорЭксп|Москва|Борзя|1070|10|38,12|38,9|39,69|40,92|44|10674|10892|11113|11458|12320
ЖелдорЭксп|Москва|Борисоглебск|490|10|11,57|11,8|12,04|12,42|13,35|3240|3304|3371|3478|3738
ЖелдорЭксп|Москва|Боровичи|790|10|18,66|19,84|21,02|23,3|25|5225|5555|5886|6524|7000
ЖелдорЭксп|Москва|Братск|790|10|25,95|26,21|26,75|27,57|29,65|7266|7339|7490|7720|8302
ЖелдорЭксп|Москва|Брест|4540|10|11,63|16,93|23,83|46,7|57,63|3256|4740|6672|13076|16136
ЖелдорЭксп|Москва|Брянск|490|10|9,4|9,59|9,79|10,09|10,85|2632|2685|2741|2825|3038
ЖелдорЭксп|Москва|Бугульма|790|10|12,01|12,38|12,77|13,16|14|3363|3466|3576|3685|3920
ЖелдорЭксп|Москва|Бугуруслан|890|10|17,56|17,89|18,44|19,24|20,05|4917|5009|5163|5387|5614
ЖелдорЭксп|Москва|Буденновск|1090|10|17,33|17,68|18,04|18,6|20|4852|4950|5051|5208|5600
ЖелдорЭксп|Москва|Бузулук|690|10|17,37|17,84|18,31|18,93|20,1|4864|4995|5127|5300|5628
ЖелдорЭксп|Москва|Великие Луки|690|10|20,23|20,87|22,11|22,9|24,15|5664|5844|6191|6412|6762
ЖелдорЭксп|Москва|Великий Новгород|490|10|8,78|8,96|9,15|9,43|10,25|2458|2509|2562|2640|2870
ЖелдорЭксп|Москва|Великий Устюг|690|10|24,44|24,7|24,87|25,32|25,8|6843|6916|6964|7090|7224
ЖелдорЭксп|Москва|Вельск|590|10|16,94|17,2|17,37|17,82|18,3|4743|4816|4864|4990|5124
ЖелдорЭксп|Москва|Владивосток|1090|10|34,62|35,32|36,05|36,78|39,55|9694|9890|10094|10298|11074
ЖелдорЭксп|Москва|Владикавказ|590|4|13,21|13,48|13,76|14,18|15,25|3699|3774|3853|3970|4270
ЖелдорЭксп|Москва|Владимир|490|4|8,1|8,27|8,43|8,7|9,35|2268|2316|2360|2436|2618
ЖелдорЭксп|Москва|Волгоград|490|4|11,83|12,07|12,31|12,69|13,65|3312|3380|3447|3553|3822
ЖелдорЭксп|Москва|Волгодонск|590|4|13,3|13,57|13,85|14,28|15,35|3724|3800|3878|3998|4298
ЖелдорЭксп|Москва|Волжск|590|4|14,76|15,28|15,71|16,46|17,65|4133|4278|4399|4609|4942
ЖелдорЭксп|Москва|Волжский|490|4|11,65|11,89|12,13|12,51|13,45|3262|3329|3396|3503|3766
