comp|out|in|date|min|1>3000/null|1<3000/null|1<1500/null|1<800/null|1<300/null|1<100/null|2>null/15|2<null/15|2<null/7,5|2<null/4|2<null/1,5|2<null/0,5
ЖельдорАльянс|Москва|Алдан|10|1300|48,45|48,6|48,75|48,9|49,05|49,2|10659|10692|10725|10758|10791|10824
ЖельдорАльянс|Москва|Анапа|44685|850|16,17|16,86|17,55|18,23|19,26|20,05|4042,75|4215,28|4387,8|4557,75|4815,25|5013,53
ЖельдорАльянс|Москва|Архангельск|5|700|15,81|16,35|16,61|16,88|17,66|17,81|3953,33|4086,67|4153,33|4220|4415,83|4453,33
ЖельдорАльянс|Москва|Астрахань|6|700|13,45|13,45|13,45|13,45|13,45|13,45|3363,7|3363,7|3363,7|3363,7|3363,7|3363,7
ЖельдорАльянс|Москва|Барнаул|6|480|19,61|20,06|20,29|20,4|21,72|23,06|4902,8|5016,1|5072,75|5101,08|5430,68|5765,43
ЖельдорАльянс|Москва|Белгород|2|700|10,47|10,47|10,47|10,47|10,47|10,47|2619,5|2619,5|2619,5|2619,5|2619,5|2619,5
ЖельдорАльянс|Москва|Белогорск|12|690|39,55|39,6|39,71|39,99|41,24|42,34|9888|9900,88|9926,63|9998,73|10310,3|10585,83
ЖельдорАльянс|Москва|Бийск|8|780|20,77|20,9|21,03|21,03|21,22|21,29|4880|4912|4943|4943|4986|5002
ЖельдорАльянс|Москва|Биробиджан|11|690|40,36|42,37|42,52|42,97|43,72|46,73|10088,85|10593,55|10629,6|10742,9|10930,88|11682,78
ЖельдорАльянс|Москва|Биробиджан ( первая ускоренная грузовая)|18|650|17,27|17,6|19,93|20,26|20,59|20,92|4835,6|4928|5580,4|5672,8|5765,2|5857,6
ЖельдорАльянс|Москва|Благовещенск|12|690|31,93|32,82|33,7|35,59|37,58|38,24|8014,43|8236,77|8459,1|8932,21|9433,76|9599,22
ЖельдорАльянс|Москва|Брянск|3|600|10,68|10,68|10,68|10,68|10,68|10,68|2671,5|2671,5|2671,5|2671,5|2671,5|2671,5
ЖельдорАльянс|Москва|Великий Новгород|2|600|10,4|10,4|10,4|10,4|10,4|10,4|2600|2600|2600|2600|2600|2600
ЖельдорАльянс|Москва|Владивосток|10|690|42|42,21|42,42|42,63|42,85|43,2|10500|10552,5|10605,26|10658,29|10711,58|10800
ЖельдорАльянс|Москва|Владивосток ( первая ускоренная грузовая)|18|650|13,97|14,19|16,41|16,63|16,85|17,07|3911,6|3973,2|4594,8|4656,4|4718|4779,6
ЖельдорАльянс|Москва|Владикавказ|2|500|10,16|10,4|10,64|10,88|10,88|11,12|2538,9|2599,35|2659,8|2720,25|2720,25|2780,7
