comp|out|in|date|min|0<1/0.02|0<3/0.02|0<5/0.02|0<15/0.05|0<35/0.13|0<35.1/0.14|1<100/1|1<200/1|1<300/1|1<400/1|1<500/1|1<700/1|1<1000/1|1<1500/1|1<2000/1|1<2500/1|1<3000/1|1>3000/1
пэк|Москва|Абакан||0|460|520|570|700|780|970|27,49|26,82|26,35|25,92|25,49|25,15|24,82|24,49|24,17|23,91|23,72|23,56
пэк|Москва|Аксай||0|460|530|560|630|660|670|15,39|14,85|14,47|14,12|13,77|13,5|13,23|12,97|12,71|12,51|12,35|12,22
пэк|Москва|Алматы||0|540|660|720|860|980|1170|31,07|30,27|29,7|29,18|28,67|28,27|27,86|27,47|27,08|26,78|26,54|26,35
пэк|Москва|Альметьевск||0|410|470|510|570|620|630|16,08|15,77|15,56|15,36|15,16|15|14,85|14,7|14,55|14,43|14,34|14,27
пэк|Москва|Анапа||0|510|570|610|680|740|750|17,31|16,93|16,67|16,42|16,18|15,99|15,8|15,62|15,43|15,29|15,18|15,09
пэк|Москва|Ангарск||0|470|530|590|750|860|1070|30,36|29,63|29,12|28,65|28,18|27,82|27,46|27,1|26,75|26,47|26,26|26,09
пэк|Москва|Арзамас||0|410|460|500|550|580|590|11,78|11,5|11,31|11,13|10,95|10,81|10,67|10,54|10,4|10,3|10,22|10,15
пэк|Москва|Армавир||0|410|470|500|560|610|620|14,21|13,9|13,67|13,47|13,27|13,11|12,95|12,8|12,65|12,53|12,43|12,36
пэк|Москва|Артем||0|660|780|880|1090|1210|1600|45,54|44,58|43,91|43,29|42,67|42,2|41,72|41,25|40,79|40,43|40,14|39,92
пэк|Москва|Архангельск||0|410|470|500|570|620|630|14,41|14,08|13,85|13,63|13,42|13,26|13,09|12,93|12,77|12,64|12,55|12,47
пэк|Москва|Астрахань||0|410|470|500|570|620|630|14,94|14,6|14,36|14,14|13,93|13,76|13,59|13,42|13,26|13,13|13,03|12,95
пэк|Москва|Ачинск||0|460|580|590|690|770|900|25,39|24,8|24,38|24|23,62|23,33|23,03|22,74|22,46|22,23|22,06|21,92
