comp|out|in|min|date|1>3000/null|1<3000/null|1<1500/null|1<500/null|1<250/null|1<100/null|2>null/15|2<null/15|2<null/7,5|2<null/3|2<null/1,5|2<null/0,5
ТрансТрек|Санк-Петербург|Благовещенск|1050||29,1|31,16|31,67|33,22|33,99|34,76|6983|7478|7601|7972|8158|8343
ТрансТрек|Санк-Петербург|Владивосток|1050||31,78|33,06|34,34|35,62|36,39|37,41|7626|7934|8241|8549|8733|8979
ТрансТрек|Санк-Петербург|Екатеринбург|620||11,79|12,1|12,3|12,71|13,33|14,15|2829|2903|2952|3050|3198|3395
ТрансТрек|Санк-Петербург|Иркутск|920||22,55|23,06|23,58|24,09|24,6|25,11|5638|5766|5894|6022|6150|6278
ТрансТрек|Санк-Петербург|Комсомольск-на-Амуре|2050||41,35|41,86|42,89|44,94|46,48|48,01|9664|9787|10033|10525|10894|11263
ТрансТрек|Санк-Петербург|Красноярск|920||20,6|21,12|21,63|22,15|22,66|23,18|5150|5279|5408|5536|5665|5794
ТрансТрек|Санк-Петербург|Магадан|2550||46,7|48,13|19,56|50,99|51,91|53,09|12338|12696|13053|13411|13645|13941
ТрансТрек|Санк-Петербург|Москва|500|1|5,7|6|6,3|6,6|6,9|7,2|1425|1500|1575|1650|1725|1800
ТрансТрек|Санк-Петербург|Находка|1050||32,8|34,08|35,36|36,64|37,41|38,44|7872|8180|8487|8795|8979|9225
ТрансТрек|Санк-Петербург|Новосибирск|820||17,85|18,38|18,9|19,43|19,95|20,48|4463|4594|4725|4856|4988|5119
ТрансТрек|Санк-Петербург|Петропавловск-Камчатский|2350||42,7|44,08|45,46|46,84|47,71|48,84|11288|11646|12003|12361|12595|12891
ТрансТрек|Санк-Петербург|Улан-Удэ|1300||25,24|25,75|26,78|27,55|28,33|29,1|6309|6438|6695|6888|7081|7274
ТрансТрек|Санк-Петербург|Уссурийск|1050||32,29|33,57|34,85|36,13|36,9|37,93|7749|8057|8364|8672|8856|9102
ТрансТрек|Санк-Петербург|Хабаровск|1050||31,78|33,06|34,34|35,62|36,39|37,41|7626|7934|8241|8549|8733|8979
ТрансТрек|Санк-Петербург|Чита|920||26,78|27,3|28,07|28,84|29,87|30,9|6427|6551|6736|6922|7169|7416
ТрансТрек|Санк-Петербург|Ю-Сахалинск (Холмск)|3300||41,2|42,58|43,96|45,34|46,21|47,34|10688|11246|11603|11961|12195|12491
ТрансТрек|Санк-Петербург|Якутск|4800||54,29|55,73|57,18|58,63|59,55|60,73|12486|12819|13152|13485|13695|13968
ТрансТрек|Новосибирск|Благовещенск|650||16,74|17,28|17,82|18,36|18,9|19,98|4185|8320|4455|4590|4725|4995
ТрансТрек|Новосибирск|Владивосток|650||18,36|18,9|19,44|19,98|20,52|21,6|4406|4536|4666|4795|4925|5184
ТрансТрек|Новосибирск|Екатеринбург|500||5,94|6,26|6,59|6,91|7,24|7,56|1426|1503|1581|1659|1737|1814
ТрансТрек|Новосибирск|Иркутск|440||12|12,3|12,6|12,9|13,2|13,5|3000|3075|3150|3225|3300|3375
ТрансТрек|Новосибирск|Красноярск|350||7,2|7,32|7,44|7,8|8,16|8,76|1800|1830|1860|1950|2040|2190
ТрансТрек|Новосибирск|Москва|350|6|7,7|7,92|8,14|8,36|8,58|8,8|1925|1980|2035|2090|2145|2200
ТрансТрек|Новосибирск|Находка|650||19,8|20,35|20,9|21,45|22|23,1|4950|5088|5225|5363|5500|5775
ТрансТрек|Новосибирск|Санкт-Петербург|420||9,2|9,78|10,35|10,93|11,5|12,08|2300|2444|2588|2731|2875|3019
ТрансТрек|Новосибирск|Улан-Удэ|440||13,5|13,8|14,1|14,4|14,7|15|3375|3450|3525|3600|3675|3750
ТрансТрек|Новосибирск|Уссуриск|650||19,25|19,8|20,35|20,9|21,45|22,55|4813|4950|5088|5225|5363|5638
ТрансТрек|Новосибирск|Хабаровск|650||18,15|18,7|19,25|19,8|20,35|21,45|4447|4582|4716|4851|4986|5255
ТрансТрек|Новосибирск|Чита|630||15,9|16,2|16,5|16,8|17,1|17,4|3975|4050|4125|4200|4275|4350
ТрансТрек|Екатеринбург|Благовещенск|850||25,3|25,85|26,4|27,5|28,6|29,7|6325|6463|6600|6875|7150|7425
ТрансТрек|Екатеринбург|Владивосток|850||24,2|24,75|25,3|26,4|27,5|28,6|5808|5940|6072|6336|6600|6864
ТрансТрек|Екатеринбург|Иркутск|630||18,7|18,98|19,25|19,8|19,8|20,35|4488|4554|4620|4752|4752|4884
ТрансТрек|Екатеринбург|Комсомольск-на-Амуре|1600||33,45|33,73|34,28|36,2|38,4|40,33|7768|7834|7966|8428|8956|9418
ТрансТрек|Екатеринбург|Красноярск|630||18,7|18,98|19,25|19,8|19,8|20,35|4488|4554|4620|4752|4752|4884
ТрансТрек|Екатеринбург|Москва|420|4|5,75|6,1|6,33|6,67|6,9|7,48|1438|1524|1581|1668|1725|1869
ТрансТрек|Екатеринбург|Находка|900||25,76|26,32|26,88|28|29,12|30,24|6182|6317|6451|6720|6989|7258
ТрансТрек|Екатеринбург|Санкт-Петербург|480||8,63|8,97|9,2|9,55|9,78|10,35|2156|2243|2300|2386|2444|2588
ТрансТрек|Екатеринбург|Улан-УДЭ|700||19,8|20,35|20,9|21,45|22|23,1|4752|4884|5016|5148|5280|5544
ТрансТрек|Екатеринбург|Уссуриск|700||25,2|25,76|26,32|27,44|28,56|29,68|6048|6182|6317|6586|6854|7123
ТрансТрек|Екатеринбург|Хабаровск|600||23,65|24,2|24,75|25,85|26,95|28,05|5676|5808|5940|6204|6468|6732
ТрансТрек|Екатеринбург|Чита|650||20,9|21,45|22|23,1|24,2|25,3|5016|5148|5280|5544|5808|6072
ТрансТрек|Красноярск|Владивосток|1000||19,69|20,62|21,35|22,16|23|23,79|4332|4536|4696|4876|5061|5234
ТрансТрек|Красноярск|Екатеринбург|500||9,52|9,74|10,08|10,3|10,64|11,2|2190|2241|2318|2370|2447|2576
ТрансТрек|Красноярск|Иркутск|550||8,27|8,57|8,88|9,14|9,74|10,01|1902|1971|2042|2101|2241|2303
ТрансТрек|Красноярск|Магадан|2100||34,66|35,7|37,09|38,06|39,4|40,79|10225|10532|10940|11228|11622|12034
ТрансТрек|Красноярск|Москва|550|7|12,08|12,36|12,65|12,94|13,23|13,8|2838|2905|2973|3040|3108|3243
ТрансТрек|Красноярск|Находка|1300||21,19|22,12|22,85|23,66|24,5|25,29|4662|4866|5027|5205|5390|5564
ТрансТрек|Красноярск|Новосибирск|600||6,83|7,09|7,35|7,61|7,88|8,14|1672|1736|1801|1865|1929|1994
ТрансТрек|Красноярск|Петропавловск-Камчатский|2100||32,75|33,68|34,65|35,62|37,55|38,76|9661|9937|10222|10507|11077|11433
